"PC1","PC2","PC3","PC4","PC5","Drug","DHT","Group","Replicate"
-24.0191077117287,-20.3377618139746,-16.2989072284605,8.51806532201667,4.50843722369572,"Apalutamide","Plus_DHT","Apalutamide_Plus_DHT","Rep1"
6.71658988474695,18.9763935998445,-2.207112100298,0.557294113452515,-6.00299101281293,"Apalutamide","Plus_DHT","Apalutamide_Plus_DHT","Rep2"
-24.0765842176391,2.30084185053793,13.6229170699234,-5.24393837309809,-4.15379182954598,"Apalutamide","No_DHT","Apalutamide_No_DHT","Rep1"
3.14296226888734,21.3730837044213,-3.11005388742622,-5.98770622989366,-4.18989621642894,"Apalutamide","No_DHT","Apalutamide_No_DHT","Rep2"
-1.64266343599352,-7.98389740934491,6.50780999125552,11.8185819239002,-1.26937912641698,"Bicalutamide","Plus_DHT","Bicalutamide_Plus_DHT","Rep1"
21.7779367009684,9.54468744379591,-7.97572993673656,8.2110439018691,-7.14453445891572,"Bicalutamide","Plus_DHT","Bicalutamide_Plus_DHT","Rep2"
-11.7201578686923,-2.21937835216661,13.4114018930156,3.63341842337665,-3.77565639292676,"Bicalutamide","No_DHT","Bicalutamide_No_DHT","Rep1"
12.3216262515597,14.7436756947716,-4.2601920252013,2.02372229191778,2.12194848194751,"Bicalutamide","No_DHT","Bicalutamide_No_DHT","Rep2"
33.4668831170335,-34.3471209971555,14.4069349446096,2.20824109488081,0.863912430286285,"Control","Plus_DHT","Control_Plus_DHT","Rep1"
54.5117182007723,-19.6213890546592,-3.2505858373781,-10.0797700551905,0.882119648748496,"Control","Plus_DHT","Control_Plus_DHT","Rep2"
-30.1314970538393,-26.1353752519511,-25.5128272358501,-6.84681553898168,-3.88627086660394,"Enzalutamide","Plus_DHT","Enzalutamide_Plus_DHT","Rep1"
6.09446003555601,15.438397314699,-4.2665555596243,4.16242667558452,0.431139519220473,"Enzalutamide","Plus_DHT","Enzalutamide_Plus_DHT","Rep2"
-30.9161061507641,-5.9420414820785,13.62682046195,-5.97042072271334,-4.91377712203494,"Enzalutamide","No_DHT","Enzalutamide_No_DHT","Rep1"
0.762732771031995,13.8669740787729,-4.83244846720753,-1.79807084650911,12.0782115723023,"Enzalutamide","No_DHT","Enzalutamide_No_DHT","Rep2"
-20.2711251816778,-0.239978752558015,12.6963313313773,-1.36355642490718,11.1538900310561,"Control","No_DHT","Control_No_DHT","Rep1"
3.98233238977888,20.5828894270451,-2.55780341394873,-3.84251555570463,3.29663811842954,"Control","No_DHT","Control_No_DHT","Rep2"
